Num Neighbours,CLIP Score Real,CLIP Score Generated,Pick score retrieval vs gen,Inception Score Real,Inception Score Generated,FID retrieval vs gen
1,30.9534,30.5642,0.4842283175140619,"(5.629772663116455, 0.7434278726577759)","(5.719306945800781, 0.8900483250617981)",69.6548843383789
3,30.9534,30.5701,0.48630008168518546,"(5.722982883453369, 1.044575572013855)","(5.620270252227783, 0.9135170578956604)",67.7588119506836
5,30.9534,30.7412,0.493373174443841,"(6.000770568847656, 1.194790005683899)","(5.69653844833374, 1.161196231842041)",67.15782928466797
10,30.9534,30.5074,0.4964936225488782,"(5.906458854675293, 1.3358405828475952)","(5.810286998748779, 1.0231853723526)",67.6251449584961
