Num Neighbours,CLIP Score Real,CLIP Score Generated,CLIP Score Coco,Pick score retrieval vs gen,Pick score gen vs coco,Pick score retrieval vs coco,Inception Score Real,Inception Score Generated,Inception Score Coco,FID retrieval vs gen,FID gen vs coco,FID retrieval vs coco
1,31.4385,31.1147,30.3002,0.4567004176210612,0.5793283226620406,0.5412763616591691,"(22.78056526184082, 2.350802183151245)","(21.499197006225586, 1.9205876588821411)","(18.880788803100586, 1.2124748229980469)",23.34524917602539,51.893341064453125,52.09101486206055
3,31.4385,31.2254,30.3002,0.4679476080052555,0.5793283226620406,0.5502157970145345,"(22.762521743774414, 1.2499902248382568)","(22.05628204345703, 1.6880426406860352)","(18.819780349731445, 1.4508696794509888)",22.837514877319336,51.893341064453125,52.60096740722656
5,31.4385,31.2998,30.3002,0.47494137243926526,0.5793283226620406,0.5573374002631754,"(22.79208755493164, 2.1211042404174805)","(21.70033836364746, 1.5991719961166382)","(18.873302459716797, 1.8686443567276)",22.33795738220215,51.893341064453125,52.49289321899414
10,31.4385,31.2661,30.3002,0.4755187100097537,0.5793283226620406,0.5586608443977311,"(22.810598373413086, 2.267185688018799)","(21.975683212280273, 1.7631832361221313)","(19.000038146972656, 1.7613945007324219)",22.70355796813965,51.893341064453125,52.9656982421875
