Value Margin Steps,CLIP Score Real,CLIP Score Generated,Pick score retrieval vs gen,Inception Score Real,Inception Score Generated,FID retrieval vs gen
15,30.9534,29.5349,0.41675873306579886,"(5.761147975921631, 1.075925588607788)","(5.5226874351501465, 0.6543694734573364)",78.76963806152344
20,30.9534,30.0812,0.4517429379746318,"(5.749648094177246, 0.6142719388008118)","(5.389012336730957, 0.8195964097976685)",76.81751251220703
25,30.9534,30.5642,0.4842283175140619,"(5.867392063140869, 0.9334277510643005)","(5.537766933441162, 1.0438597202301025)",69.6548843383789
27,30.9534,30.7368,0.49122663475573064,"(5.762115955352783, 0.8956693410873413)","(5.848884582519531, 0.828650951385498)",63.26233673095703
