Value Margin Steps,CLIP Score Real,CLIP Score Generated,CLIP Score Coco,Pick score retrieval vs gen,Pick score gen vs coco,Pick score retrieval vs coco,Inception Score Real,Inception Score Generated,Inception Score Coco,FID retrieval vs gen,FID gen vs coco,FID retrieval vs coco
15,31.4385,28.5715,30.3002,0.31738792600220767,0.5793283226620406,0.3995284668581735,"(22.78056526184082, 2.350802183151245)","(20.10626220703125, 1.1074861288070679)","(18.880788803100586, 1.2124748229980469)",27.850069046020508,51.893341064453125,53.32146072387695
20,31.4385,29.9953,30.3002,0.37574801785848105,0.5793283226620406,0.4608655960760079,"(22.762521743774414, 1.2499902248382568)","(20.351158142089844, 1.8300145864486694)","(18.819780349731445, 1.4508696794509888)",26.26319694519043,51.893341064453125,51.97831726074219
25,31.4385,31.1147,30.3002,0.4567004176210612,0.5793283226620406,0.5412763616591691,"(22.79208755493164, 2.1211042404174805)","(21.406972885131836, 1.6751554012298584)","(18.873302459716797, 1.8686443567276)",23.34524917602539,51.893341064453125,52.09101486206055
27,31.4385,31.2271,30.3002,0.47883388520777226,0.5793283226620406,0.5607453922312706,"(22.810598373413086, 2.267185688018799)","(22.38627815246582, 1.5564802885055542)","(19.000038146972656, 1.7613945007324219)",20.736610412597656,51.893341064453125,52.56191635131836
