Skipping configuration,CLIP Score Real,CLIP Score Generated,CLIP Score Coco,Groupwise CLIP Score Real,Groupwise CLIP Score Generated,Pick score retrieval vs gen,Groupwise Pick score retrieval vs gen,Pick score gen vs coco,Pick score retrieval vs coco,Inception Score Real,Inception Score Generated,Inception Score Coco,FID retrieval vs gen,FID gen vs coco,FID retrieval vs coco,Average Steps
Aggressive,31.4385,30.7687,30.3002,"[30.619, 30.9743, 31.7057, 32.1993]","[29.947, 29.9804, 30.9594, 31.96]",0.43692641709838065,"[0.43873385931777803, 0.40671109157292884, 0.4426051213416491, 0.46727301960899714]",0.5793283226620406,0.5214247269737534,"(22.78056526184082, 2.350802183151245)","(21.25092124938965, 1.629257321357727)","(19.043001174926758, 0.9079776406288147)",23.76111602783203,51.893341064453125,52.1258659362793,22.0845
Moderate,31.4385,31.0603,30.3002,"[30.619, 30.9743, 31.7057, 32.1993]","[30.3048, 30.4753, 31.1146, 32.0379]",0.4569660088531673,"[0.45448300019613924, 0.4427001441363245, 0.4573162055668536, 0.47498268308200114]",0.5793283226620406,0.5396467686882243,"(22.579713821411133, 1.3482167720794678)","(21.505666732788086, 2.2990944385528564)","(18.84537696838379, 1.379470944404602)",22.262269973754883,51.893341064453125,52.01374435424805,24.3885
Conservative,31.4385,31.2008,30.3002,"[30.619, 30.9743, 31.7057, 32.1993]","[30.5137, 30.6415, 31.2881, 32.1072]",0.4714622254893184,"[0.47001612205294113, 0.4583586774367307, 0.46686158473237177, 0.4914090299233137]",0.5793283226620406,0.5538785379081964,"(22.687408447265625, 1.048356294631958)","(22.019046783447266, 1.8692659139633179)","(18.940969467163086, 1.5305613279342651)",20.474403381347656,51.893341064453125,52.60981369018555,25.7045
