Skipping configuration,CLIP Score Real,CLIP Score Generated,Groupwise CLIP Score Real,Groupwise CLIP Score Generated,Pick score retrieval vs gen,Groupwise Pick score retrieval vs gen,Inception Score Real,Inception Score Generated,FID retrieval vs gen,Average Steps
Aggressive,30.9534,30.4029,"[31.8391, 30.5752, 30.8817, 28.8883]","[31.0542, 30.0553, 30.0148, 28.7]",0.47977191012352705,"[0.4764793701469898, 0.4869698262995198, 0.46612280024723574, 0.48585561401135213]","(5.868754863739014, 1.0341933965682983)","(5.708542346954346, 0.5127373933792114)",71.82860565185547,21.795
Moderate,30.9534,30.6417,"[31.8391, 30.5752, 30.8817, 28.8883]","[31.1856, 30.4342, 30.137, 28.5739]",0.4838144361972809,"[0.4646183488269647, 0.498903951829388, 0.47331222729249434, 0.47762006521224976]","(5.491359233856201, 0.4743226170539856)","(6.035892963409424, 1.2192829847335815)",70.16539001464844,24.115
Conservative,30.9534,30.6266,"[31.8391, 30.5752, 30.8817, 28.8883]","[31.2604, 30.2604, 30.1358, 28.68]",0.4948093170672655,"[0.4768149716158708, 0.504639571976094, 0.48594900613481345, 0.49733472192609635]","(5.723114967346191, 1.134819507598877)","(6.030857086181641, 1.0215353965759277)",65.71638488769531,25.355
