neighbour,mean,median,std
1,0.2363897,0.20843342,0.12800004
2,0.28605115,0.25928688,0.1355998
3,0.32257426,0.2930618,0.1530262
4,0.34840313,0.3149123,0.15769237
5,0.37057906,0.336958,0.16344953
6,0.38863313,0.35122937,0.16643858
7,0.40613675,0.3733222,0.16888884
8,0.42085072,0.38652366,0.1716752
9,0.4348735,0.40088367,0.17532375
10,0.446764,0.40270633,0.17818913
